zipkin,78,44,34,8,88,28,68,62,,,,,,,,53,2
corinthia,74,60,68,46,24,42,58,112,0,12,,,,,,52,2
pirk,102,76,70,16,14,6,26,32,,,,,,,,29,2
heraldry,20,6,40,4,2,114,104,20,14,,,,,,,20,2
awf,78,36,44,8,4,46,16,12,0,12,2,,,,,12,2
triplesoup,18,20,12,0,4,0,,,,,,,,,,8,2
provisionr,14,12,52,2,8,2,6,,,,,,,,,8,2
alois,14,16,8,0,2,2,0,,,,,,,,,2,2
juice,24,2,0,0,0,0,0,12,0,0,0,2,0,2,0,0,2
wave,496,468,484,356,352,114,110,198,114,114,118,258,94,98,106,118,1
weex,22,8,130,148,136,128,80,64,130,148,78,64,94,88,90,90,1
stonehenge,40,112,88,116,140,148,136,102,100,52,50,14,20,4,12,88,1
taverna,132,52,66,76,72,70,96,74,60,20,22,40,16,50,102,66,1
myriad,68,110,64,72,104,160,144,124,32,42,34,34,54,66,16,66,1
yoko,94,108,100,60,80,66,42,50,28,42,104,14,6,14,64,60,1
slider,32,66,52,54,26,76,40,72,34,72,70,86,44,36,20,52,1
s4,106,60,58,32,52,24,60,50,98,30,48,30,30,38,24,48,1
gearpump,98,68,46,72,32,42,44,46,26,16,20,56,18,26,16,42,1
ariatosca,10,16,40,8,20,8,6,50,62,84,44,80,76,56,26,40,1
edgent,182,106,164,38,62,28,30,36,36,38,24,10,0,44,34,36,1
tamaya,98,100,32,38,14,36,24,36,26,24,8,28,28,24,34,28,1
quickstep,22,72,38,42,42,42,76,24,28,68,28,20,6,6,20,28,1
olio,4,10,34,50,36,50,30,2,34,20,30,28,10,18,4,28,1
htrace,62,78,48,40,70,40,4,2,54,4,12,8,10,12,26,26,1
blur,26,66,40,16,26,38,30,18,26,16,22,78,62,66,24,26,1
npanday,30,18,18,0,32,36,54,84,6,28,22,30,8,26,18,26,1
ripple,52,32,34,50,24,16,34,22,16,16,48,10,24,38,4,24,1
nmaven,10,4,10,0,26,28,20,20,20,18,34,26,14,30,74,20,1
graffito,14,42,40,22,30,14,32,14,16,34,48,12,20,6,8,20,1
amaterasu,20,28,20,2,6,40,32,62,32,0,44,22,0,18,2,20,1
kato,8,34,52,60,44,28,12,10,22,10,20,42,12,6,0,20,1
gossip,40,28,0,14,22,26,26,24,18,14,10,18,14,4,6,18,1
samoa,38,46,10,26,38,16,14,12,18,16,2,40,22,4,16,16,1
s2graph,84,40,4,72,82,36,16,12,18,28,12,0,6,2,6,16,1
agila,34,14,6,36,12,16,32,0,44,34,14,30,26,10,2,16,1
openaz,2,0,38,12,38,14,6,2,2,6,42,38,72,68,20,14,1
droids,32,2,0,14,24,6,20,12,14,14,16,2,6,24,0,14,1
bluesky,6,8,4,8,22,58,58,56,8,6,2,26,110,12,14,12,1
iota,4,8,38,8,30,4,20,20,14,0,48,10,2,6,36,10,1
kitty,18,8,10,16,16,22,24,0,10,2,6,12,0,0,6,10,1
mrql,38,8,22,0,12,10,10,8,8,4,0,26,26,10,2,10,1
sirona,44,36,8,14,6,6,18,12,8,2,24,2,0,4,4,8,1
lokahi,8,14,0,16,16,24,4,2,0,0,12,18,42,0,0,8,1
photark,18,10,0,4,2,8,16,0,0,8,4,6,8,18,6,6,1
xap,36,2,20,10,34,0,58,46,10,6,2,2,0,0,2,6,1
imperius,14,10,0,0,4,2,4,16,2,2,0,20,12,8,10,4,1
tashi,0,20,12,8,0,4,6,4,2,6,0,2,2,2,4,4,1
horn,52,32,4,4,8,2,4,0,6,0,12,2,2,16,0,4,1
kalumet,56,28,30,4,4,0,34,40,0,0,2,2,38,0,0,4,1
hise,2,8,2,2,0,2,2,4,10,0,0,6,0,2,0,2,1
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,
